"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
1,1,16.09556,20.39463,1.90701,13527.65286,750.51968,97.27376,0.17679
2,1,14.71905,57.1234,5.29521,69207.80309,611.83693,99.26815,0.26465
3,1,22.54888,35.42401,1.74254,44329.11507,815.94325,202.16536,0.08264
4,1,30.15668,19.33275,1.46249,43121.2098,881.40063,138.4275,0.04451
5,1,41.80247,25.64118,1.3138,17791.28623,801.39434,105.22619,0.07019
6,2,16.47709,47.29966,2.36586,11822.46261,776.85677,101.4111,0.31784
7,2,23.7615,35.13692,1.37639,28349.58337,804.23862,128.95747,0.05665
8,2,30.36825,19.09978,1.46969,53529.52696,954.79724,158.49216,0.04049
9,2,40.74045,24.64366,1.15901,14960.43775,809.70511,98.48424,0.06273
10,2,51.96386,27.1958,1.19591,34400.17197,806.83301,115.75749,0.03329
11,3,17.72382,42.95534,1.4346,53544.21037,952.17111,235.28322,0.05382
12,3,29.83379,19.95709,1.99946,108367.24821,938.19109,434.56572,0.08808
13,3,51.92658,27.10769,1.24393,12493.09035,737.14856,87.97622,0.07862
14,4,16.69889,46.75831,2.27389,30358.42064,1186.52173,270.91692,0.26164
15,4,17.67435,42.96277,1.4706,52237.58548,1037.54835,303.39854,0.07237
16,4,27.37198,32.05259,1.37784,13876.68692,799.19825,105.26858,0.09809
17,4,29.09273,20.80649,1.68793,64213.67538,934.14088,310.17334,0.07838
18,5,15.80278,50.07676,3.31622,40341.78179,841.10504,152.43233,0.25214
19,5,18.94074,39.09371,1.61409,48312.1714,899.32615,208.93708,0.06737
20,5,27.46072,24.62042,1.25045,29115.52279,891.6079,133.76844,0.04746
21,5,36.0405,24.56386,1.59231,77379.58437,879.99945,305.07727,0.05736
22,6,15.83477,48.89016,3.18782,41212.13419,795.63565,110.8154,0.1767
23,6,19.26093,38.97069,1.40631,5554.66285,796.27103,107.10271,0.25627
24,6,27.4457,24.46666,1.2453,46699.20791,930.6985,144.622,0.03159
25,6,34.16097,16.86284,1.53784,32613.3326,948.19838,131.53939,0.06184
26,6,38.15836,24.62294,1.30938,46551.02706,933.79848,179.10096,0.04129
27,6,54.04405,27.61373,1.3072,12865.03902,740.47563,97.19899,0.09015
28,7,15.04068,52.41398,1.59053,30020.93729,1099.8792,217.69569,0.10877
29,7,25.36583,33.39877,1.38309,36859.17699,901.08883,126.00436,0.04343
30,7,27.50343,24.59934,1.21192,36089.8587,974.11364,149.74958,0.03968
