"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
1,1,16.47709,47.29966,2.36586,11822.46261,776.85677,101.4111,0.31784
2,1,23.7615,35.13692,1.37639,28349.58337,804.23862,128.95747,0.05665
3,1,30.36825,19.09978,1.46969,53529.52696,954.79724,158.49216,0.04049
4,1,40.74045,24.64366,1.15901,14960.43775,809.70511,98.48424,0.06273
5,1,51.96386,27.1958,1.19591,34400.17197,806.83301,115.75749,0.03329
6,2,16.69889,46.75831,2.27389,30358.42064,1186.52173,270.91692,0.26164
7,2,17.67435,42.96277,1.4706,52237.58548,1037.54835,303.39854,0.07237
8,2,27.37198,32.05259,1.37784,13876.68692,799.19825,105.26858,0.09809
9,2,29.09273,20.80649,1.68793,64213.67538,934.14088,310.17334,0.07838
10,3,15.83477,48.89016,3.18782,41212.13419,795.63565,110.8154,0.1767
11,3,19.26093,38.97069,1.40631,5554.66285,796.27103,107.10271,0.25627
12,3,27.4457,24.46666,1.2453,46699.20791,930.6985,144.622,0.03159
13,3,34.16097,16.86284,1.53784,32613.3326,948.19838,131.53939,0.06184
14,3,38.15836,24.62294,1.30938,46551.02706,933.79848,179.10096,0.04129
15,3,54.04405,27.61373,1.3072,12865.03902,740.47563,97.19899,0.09015
16,4,14.85538,52.89995,1.29125,21979.21381,808.57013,109.6644,0.05697
17,4,19.46081,39.32714,1.5322,49927.99708,1081.04627,378.61206,0.10015
18,4,23.55705,31.78723,1.34018,67463.13016,1196.16402,369.12459,0.05617
19,4,27.34306,24.69673,1.19118,38633.74613,1069.5414,303.63593,0.06554
20,4,34.26589,16.69424,1.22437,11912.14761,1050.91478,153.62678,0.12321
21,4,34.73693,10.4614,4.06437,72129.90023,680.22318,131.08506,0.18693
22,4,38.32703,24.6441,1.25911,49963.27837,890.76409,146.99366,0.03057
23,5,14.90467,52.93208,1.26994,9506.15307,724.06349,96.34369,0.11435
