"id","frame","x [px]","y [px]","sigma [px]","intensity [ADU]","offset [ADU]","bkgstd [ADU]","uncertainty_xy [px]"
1,1,16.09556,20.39463,1.90701,13527.65286,750.51968,97.27376,0.17679
2,1,14.71905,57.1234,5.29521,69207.80309,611.83693,99.26815,0.26465
3,1,22.54888,35.42401,1.74254,44329.11507,815.94325,202.16536,0.08264
4,1,30.15668,19.33275,1.46249,43121.2098,881.40063,138.4275,0.04451
5,1,41.80247,25.64118,1.3138,17791.28623,801.39434,105.22619,0.07019
6,2,17.72382,42.95534,1.4346,53544.21037,952.17111,235.28322,0.05382
7,2,29.83379,19.95709,1.99946,108367.24821,938.19109,434.56572,0.08808
8,2,51.92658,27.10769,1.24393,12493.09035,737.14856,87.97622,0.07862
9,3,15.80278,50.07676,3.31622,40341.78179,841.10504,152.43233,0.25214
10,3,18.94074,39.09371,1.61409,48312.1714,899.32615,208.93708,0.06737
11,3,27.46072,24.62042,1.25045,29115.52279,891.6079,133.76844,0.04746
12,3,36.0405,24.56386,1.59231,77379.58437,879.99945,305.07727,0.05736
13,4,15.04068,52.41398,1.59053,30020.93729,1099.8792,217.69569,0.10877
14,4,25.36583,33.39877,1.38309,36859.17699,901.08883,126.00436,0.04343
15,4,27.50343,24.59934,1.21192,36089.8587,974.11364,149.74958,0.03968
16,4,34.05789,16.7791,1.59606,34027.53794,921.93175,153.53438,0.07205
17,4,38.29971,24.61497,1.25461,50779.50916,922.82853,158.55263,0.03174
18,5,15.83967,47.09765,1.28158,22705.19068,813.42786,115.76696,0.05669
19,5,21.89962,34.95198,3.01757,168172.01614,815.82058,792.02724,0.22538
20,5,23.27542,33.86906,3.21828,179518.84222,842.52489,731.93991,0.22238
21,5,27.05965,24.57148,1.34822,57344.66054,1005.58427,186.71861,0.03679
22,5,35.46549,7.99716,2.56677,35490.76762,772.14841,124.5603,0.14675
23,6,15.97898,47.02117,1.8827,113957.53623,1073.99205,526.09901,0.08906
24,6,24.87534,33.81147,1.49284,56962.05504,950.68903,255.86026,0.05876
25,6,46.07631,25.28202,1.42707,43542.94534,901.75651,217.0201,0.06097
26,7,11.07953,17.67396,1.98898,20776.02613,743.17141,106.7955,0.13457
27,7,14.81378,54.52214,1.24485,64200.28609,983.86602,173.33953,0.02675
28,7,15.8811,46.77486,1.2732,34121.02834,896.73935,144.49535,0.04466
29,7,22.63286,35.14794,1.96805,48186.83564,820.59774,305.8047,0.13873
30,7,30.37965,20.12645,1.90601,49364.09505,1232.31457,437.46734,0.17679
